Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
BrainWhiteMatter  ,   1.0544e+1,   2.8310e-2,   2.7026e+7,   1.7858e+0,   4.4313e+3,   1.2032e+3,
BrainWhiteMatter  ,   1.0556e+1,   2.8324e-2,   2.7013e+7,   1.7856e+0,   4.4274e+3,   1.2023e+3,
BrainWhiteMatter  ,   1.0568e+1,   2.8339e-2,   2.6999e+7,   1.7853e+0,   4.4236e+3,   1.2013e+3,
BrainWhiteMatter  ,   1.0580e+1,   2.8354e-2,   2.6986e+7,   1.7851e+0,   4.4197e+3,   1.2003e+3,
BrainWhiteMatter  ,   1.0593e+1,   2.8369e-2,   2.6972e+7,   1.7848e+0,   4.4159e+3,   1.1994e+3,
BrainWhiteMatter  ,   1.0605e+1,   2.8383e-2,   2.6959e+7,   1.7846e+0,   4.4121e+3,   1.1984e+3,
BrainWhiteMatter  ,   1.0617e+1,   2.8398e-2,   2.6945e+7,   1.7844e+0,   4.4083e+3,   1.1974e+3,
BrainWhiteMatter  ,   1.0629e+1,   2.8413e-2,   2.6932e+7,   1.7842e+0,   4.4044e+3,   1.1965e+3,
BrainWhiteMatter  ,   1.0641e+1,   2.8428e-2,   2.6918e+7,   1.7839e+0,   4.4006e+3,   1.1955e+3,
BrainWhiteMatter  ,   1.0654e+1,   2.8442e-2,   2.6905e+7,   1.7837e+0,   4.3968e+3,   1.1946e+3,
BrainWhiteMatter  ,   1.0666e+1,   2.8457e-2,   2.6891e+7,   1.7835e+0,   4.3930e+3,   1.1936e+3,
BrainWhiteMatter  ,   1.0678e+1,   2.8472e-2,   2.6877e+7,   1.7833e+0,   4.3892e+3,   1.1926e+3,
BrainWhiteMatter  ,   1.0691e+1,   2.8487e-2,   2.6864e+7,   1.7830e+0,   4.3854e+3,   1.1917e+3,
BrainWhiteMatter  ,   1.0703e+1,   2.8502e-2,   2.6850e+7,   1.7828e+0,   4.3816e+3,   1.1907e+3,
BrainWhiteMatter  ,   1.0715e+1,   2.8517e-2,   2.6836e+7,   1.7826e+0,   4.3778e+3,   1.1898e+3,
BrainWhiteMatter  ,   1.0728e+1,   2.8532e-2,   2.6823e+7,   1.7824e+0,   4.3740e+3,   1.1888e+3,
BrainWhiteMatter  ,   1.0740e+1,   2.8547e-2,   2.6809e+7,   1.7822e+0,   4.3702e+3,   1.1878e+3,
BrainWhiteMatter  ,   1.0752e+1,   2.8562e-2,   2.6795e+7,   1.7820e+0,   4.3664e+3,   1.1869e+3,
BrainWhiteMatter  ,   1.0765e+1,   2.8576e-2,   2.6782e+7,   1.7818e+0,   4.3627e+3,   1.1859e+3,
BrainWhiteMatter  ,   1.0777e+1,   2.8591e-2,   2.6768e+7,   1.7816e+0,   4.3589e+3,   1.1849e+3,
BrainWhiteMatter  ,   1.0789e+1,   2.8606e-2,   2.6754e+7,   1.7814e+0,   4.3551e+3,   1.1840e+3,
BrainWhiteMatter  ,   1.0802e+1,   2.8622e-2,   2.6740e+7,   1.7812e+0,   4.3513e+3,   1.1830e+3,
BrainWhiteMatter  ,   1.0814e+1,   2.8637e-2,   2.6727e+7,   1.7810e+0,   4.3476e+3,   1.1821e+3,
BrainWhiteMatter  ,   1.0827e+1,   2.8652e-2,   2.6713e+7,   1.7808e+0,   4.3438e+3,   1.1811e+3,
