Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Muscle            ,   1.0593e+1,   2.0220e-1,   2.5640e+7,   1.3383e+1,   2.0816e+3,   3.5697e+2,
Muscle            ,   1.0605e+1,   2.0221e-1,   2.5639e+7,   1.3368e+1,   2.0803e+3,   3.5678e+2,
Muscle            ,   1.0617e+1,   2.0221e-1,   2.5638e+7,   1.3354e+1,   2.0790e+3,   3.5658e+2,
Muscle            ,   1.0629e+1,   2.0222e-1,   2.5636e+7,   1.3339e+1,   2.0777e+3,   3.5639e+2,
Muscle            ,   1.0641e+1,   2.0222e-1,   2.5635e+7,   1.3325e+1,   2.0764e+3,   3.5619e+2,
Muscle            ,   1.0654e+1,   2.0223e-1,   2.5634e+7,   1.3311e+1,   2.0750e+3,   3.5600e+2,
Muscle            ,   1.0666e+1,   2.0223e-1,   2.5633e+7,   1.3296e+1,   2.0737e+3,   3.5580e+2,
Muscle            ,   1.0678e+1,   2.0224e-1,   2.5631e+7,   1.3282e+1,   2.0724e+3,   3.5561e+2,
Muscle            ,   1.0691e+1,   2.0224e-1,   2.5630e+7,   1.3268e+1,   2.0711e+3,   3.5541e+2,
Muscle            ,   1.0703e+1,   2.0225e-1,   2.5629e+7,   1.3254e+1,   2.0698e+3,   3.5522e+2,
Muscle            ,   1.0715e+1,   2.0225e-1,   2.5627e+7,   1.3239e+1,   2.0685e+3,   3.5502e+2,
Muscle            ,   1.0728e+1,   2.0226e-1,   2.5626e+7,   1.3225e+1,   2.0672e+3,   3.5483e+2,
Muscle            ,   1.0740e+1,   2.0226e-1,   2.5625e+7,   1.3211e+1,   2.0659e+3,   3.5463e+2,
Muscle            ,   1.0752e+1,   2.0227e-1,   2.5624e+7,   1.3197e+1,   2.0646e+3,   3.5444e+2,
Muscle            ,   1.0765e+1,   2.0227e-1,   2.5622e+7,   1.3183e+1,   2.0633e+3,   3.5425e+2,
Muscle            ,   1.0777e+1,   2.0228e-1,   2.5621e+7,   1.3168e+1,   2.0620e+3,   3.5405e+2,
