Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Kidney            ,   1.0593e+1,   5.4903e-2,   2.7735e+7,   3.3593e+0,   3.5807e+3,   7.6425e+2,
Kidney            ,   1.0605e+1,   5.4914e-2,   2.7730e+7,   3.3567e+0,   3.5780e+3,   7.6383e+2,
Kidney            ,   1.0617e+1,   5.4924e-2,   2.7724e+7,   3.3541e+0,   3.5752e+3,   7.6340e+2,
Kidney            ,   1.0629e+1,   5.4934e-2,   2.7719e+7,   3.3515e+0,   3.5724e+3,   7.6297e+2,
Kidney            ,   1.0641e+1,   5.4945e-2,   2.7714e+7,   3.3490e+0,   3.5696e+3,   7.6254e+2,
Kidney            ,   1.0654e+1,   5.4955e-2,   2.7708e+7,   3.3464e+0,   3.5668e+3,   7.6212e+2,
Kidney            ,   1.0666e+1,   5.4966e-2,   2.7703e+7,   3.3438e+0,   3.5640e+3,   7.6169e+2,
Kidney            ,   1.0678e+1,   5.4976e-2,   2.7698e+7,   3.3413e+0,   3.5612e+3,   7.6126e+2,
Kidney            ,   1.0691e+1,   5.4987e-2,   2.7692e+7,   3.3387e+0,   3.5585e+3,   7.6084e+2,
Kidney            ,   1.0703e+1,   5.4997e-2,   2.7687e+7,   3.3362e+0,   3.5557e+3,   7.6041e+2,
Kidney            ,   1.0715e+1,   5.5008e-2,   2.7682e+7,   3.3336e+0,   3.5529e+3,   7.5998e+2,
Kidney            ,   1.0728e+1,   5.5018e-2,   2.7676e+7,   3.3311e+0,   3.5501e+3,   7.5955e+2,
Kidney            ,   1.0740e+1,   5.5029e-2,   2.7671e+7,   3.3285e+0,   3.5474e+3,   7.5913e+2,
Kidney            ,   1.0752e+1,   5.5039e-2,   2.7665e+7,   3.3260e+0,   3.5446e+3,   7.5870e+2,
Kidney            ,   1.0765e+1,   5.5050e-2,   2.7660e+7,   3.3235e+0,   3.5418e+3,   7.5827e+2,
Kidney            ,   1.0777e+1,   5.5061e-2,   2.7654e+7,   3.3209e+0,   3.5391e+3,   7.5785e+2,
Kidney            ,   1.0789e+1,   5.5071e-2,   2.7649e+7,   3.3184e+0,   3.5363e+3,   7.5742e+2,
Kidney            ,   1.0802e+1,   5.5082e-2,   2.7643e+7,   3.3159e+0,   3.5335e+3,   7.5700e+2,
Kidney            ,   1.0814e+1,   5.5093e-2,   2.7638e+7,   3.3134e+0,   3.5308e+3,   7.5657e+2,
Kidney            ,   1.0827e+1,   5.5103e-2,   2.7632e+7,   3.3109e+0,   3.5280e+3,   7.5614e+2,
Kidney            ,   1.0839e+1,   5.5114e-2,   2.7627e+7,   3.3084e+0,   3.5252e+3,   7.5572e+2,
Kidney            ,   1.0852e+1,   5.5125e-2,   2.7621e+7,   3.3059e+0,   3.5225e+3,   7.5529e+2,
Kidney            ,   1.0864e+1,   5.5136e-2,   2.7616e+7,   3.3034e+0,   3.5197e+3,   7.5487e+2,
Kidney            ,   1.0877e+1,   5.5147e-2,   2.7610e+7,   3.3009e+0,   3.5170e+3,   7.5444e+2,
Kidney            ,   1.0889e+1,   5.5157e-2,   2.7605e+7,   3.2984e+0,   3.5142e+3,   7.5401e+2,
Kidney            ,   1.0902e+1,   5.5168e-2,   2.7599e+7,   3.2959e+0,   3.5115e+3,   7.5359e+2,
Kidney            ,   1.0914e+1,   5.5179e-2,   2.7594e+7,   3.2934e+0,   3.5087e+3,   7.5316e+2,
Kidney            ,   1.0927e+1,   5.5190e-2,   2.7588e+7,   3.2909e+0,   3.5060e+3,   7.5274e+2,
Kidney            ,   1.0940e+1,   5.5201e-2,   2.7582e+7,   3.2885e+0,   3.5032e+3,   7.5231e+2,
Kidney            ,   1.0952e+1,   5.5212e-2,   2.7577e+7,   3.2860e+0,   3.5005e+3,   7.5189e+2,
Kidney            ,   1.0965e+1,   5.5223e-2,   2.7571e+7,   3.2835e+0,   3.4977e+3,   7.5146e+2,
Kidney            ,   1.0977e+1,   5.5234e-2,   2.7566e+7,   3.2811e+0,   3.4950e+3,   7.5104e+2,
Kidney            ,   1.0990e+1,   5.5245e-2,   2.7560e+7,   3.2786e+0,   3.4923e+3,   7.5061e+2,
Kidney            ,   1.1003e+1,   5.5256e-2,   2.7554e+7,   3.2762e+0,   3.4895e+3,   7.5019e+2,
Kidney            ,   1.1015e+1,   5.5267e-2,   2.7549e+7,   3.2737e+0,   3.4868e+3,   7.4976e+2,
Kidney            ,   1.1028e+1,   5.5278e-2,   2.7543e+7,   3.2713e+0,   3.4840e+3,   7.4934e+2,
Kidney            ,   1.1041e+1,   5.5289e-2,   2.7537e+7,   3.2689e+0,   3.4813e+3,   7.4891e+2,
Kidney            ,   1.1054e+1,   5.5300e-2,   2.7532e+7,   3.2664e+0,   3.4786e+3,   7.4849e+2,
Kidney            ,   1.1066e+1,   5.5311e-2,   2.7526e+7,   3.2640e+0,   3.4759e+3,   7.4806e+2,
Kidney            ,   1.1079e+1,   5.5322e-2,   2.7520e+7,   3.2616e+0,   3.4731e+3,   7.4764e+2,
Kidney            ,   1.1092e+1,   5.5333e-2,   2.7514e+7,   3.2592e+0,   3.4704e+3,   7.4722e+2,
Kidney            ,   1.1105e+1,   5.5344e-2,   2.7509e+7,   3.2568e+0,   3.4677e+3,   7.4679e+2,
Kidney            ,   1.1117e+1,   5.5356e-2,   2.7503e+7,   3.2543e+0,   3.4650e+3,   7.4637e+2,
Kidney            ,   1.1130e+1,   5.5367e-2,   2.7497e+7,   3.2519e+0,   3.4622e+3,   7.4594e+2,
Kidney            ,   1.1143e+1,   5.5378e-2,   2.7491e+7,   3.2495e+0,   3.4595e+3,   7.4552e+2,
Kidney            ,   1.1156e+1,   5.5389e-2,   2.7486e+7,   3.2471e+0,   3.4568e+3,   7.4509e+2,
Kidney            ,   1.1169e+1,   5.5401e-2,   2.7480e+7,   3.2447e+0,   3.4541e+3,   7.4467e+2,
Kidney            ,   1.1181e+1,   5.5412e-2,   2.7474e+7,   3.2424e+0,   3.4514e+3,   7.4425e+2,
Kidney            ,   1.1194e+1,   5.5423e-2,   2.7468e+7,   3.2400e+0,   3.4487e+3,   7.4382e+2,
Kidney            ,   1.1207e+1,   5.5435e-2,   2.7462e+7,   3.2376e+0,   3.4459e+3,   7.4340e+2,
Kidney            ,   1.1220e+1,   5.5446e-2,   2.7457e+7,   3.2352e+0,   3.4432e+3,   7.4298e+2,
Kidney            ,   1.1233e+1,   5.5457e-2,   2.7451e+7,   3.2328e+0,   3.4405e+3,   7.4255e+2,
Kidney            ,   1.1246e+1,   5.5469e-2,   2.7445e+7,   3.2305e+0,   3.4378e+3,   7.4213e+2,
Kidney            ,   1.1259e+1,   5.5480e-2,   2.7439e+7,   3.2281e+0,   3.4351e+3,   7.4171e+2,
Kidney            ,   1.1272e+1,   5.5492e-2,   2.7433e+7,   3.2258e+0,   3.4324e+3,   7.4128e+2,
Kidney            ,   1.1285e+1,   5.5503e-2,   2.7427e+7,   3.2234e+0,   3.4297e+3,   7.4086e+2,
Kidney            ,   1.1298e+1,   5.5515e-2,   2.7421e+7,   3.2211e+0,   3.4270e+3,   7.4044e+2,
Kidney            ,   1.1311e+1,   5.5526e-2,   2.7415e+7,   3.2187e+0,   3.4243e+3,   7.4002e+2,
Kidney            ,   1.1324e+1,   5.5538e-2,   2.7410e+7,   3.2164e+0,   3.4216e+3,   7.3959e+2,
