Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Lymph             ,   6.1944e+4,   5.3472e-1,   3.7572e+3,   4.1299e+1,   1.7166e+1,   2.7990e+0,
Lymph             ,   6.2015e+4,   5.3472e-1,   3.7559e+3,   4.1266e+1,   1.7156e+1,   2.7975e+0,
Lymph             ,   6.2087e+4,   5.3473e-1,   3.7546e+3,   4.1233e+1,   1.7146e+1,   2.7959e+0,
Lymph             ,   6.2158e+4,   5.3473e-1,   3.7533e+3,   4.1201e+1,   1.7136e+1,   2.7943e+0,
Lymph             ,   6.2230e+4,   5.3474e-1,   3.7520e+3,   4.1168e+1,   1.7126e+1,   2.7927e+0,
Lymph             ,   6.2302e+4,   5.3474e-1,   3.7507e+3,   4.1135e+1,   1.7116e+1,   2.7911e+0,
Lymph             ,   6.2373e+4,   5.3475e-1,   3.7494e+3,   4.1102e+1,   1.7106e+1,   2.7895e+0,
Lymph             ,   6.2445e+4,   5.3475e-1,   3.7481e+3,   4.1070e+1,   1.7096e+1,   2.7879e+0,
Lymph             ,   6.2517e+4,   5.3475e-1,   3.7468e+3,   4.1037e+1,   1.7085e+1,   2.7863e+0,
Lymph             ,   6.2589e+4,   5.3476e-1,   3.7455e+3,   4.1004e+1,   1.7075e+1,   2.7847e+0,
Lymph             ,   6.2661e+4,   5.3476e-1,   3.7442e+3,   4.0972e+1,   1.7065e+1,   2.7831e+0,
Lymph             ,   6.2734e+4,   5.3477e-1,   3.7429e+3,   4.0939e+1,   1.7055e+1,   2.7815e+0,
Lymph             ,   6.2806e+4,   5.3477e-1,   3.7416e+3,   4.0906e+1,   1.7045e+1,   2.7800e+0,
Lymph             ,   6.2878e+4,   5.3478e-1,   3.7403e+3,   4.0874e+1,   1.7035e+1,   2.7784e+0,
Lymph             ,   6.2951e+4,   5.3478e-1,   3.7390e+3,   4.0841e+1,   1.7025e+1,   2.7768e+0,
Lymph             ,   6.3023e+4,   5.3479e-1,   3.7378e+3,   4.0808e+1,   1.7015e+1,   2.7752e+0,
Lymph             ,   6.3096e+4,   5.3479e-1,   3.7365e+3,   4.0776e+1,   1.7005e+1,   2.7736e+0,
Lymph             ,   6.3168e+4,   5.3479e-1,   3.7352e+3,   4.0743e+1,   1.6995e+1,   2.7720e+0,
Lymph             ,   6.3241e+4,   5.3480e-1,   3.7339e+3,   4.0711e+1,   1.6985e+1,   2.7705e+0,
